allnames	allsizes	species	reverse	seqname_aleu	CHR
Sebaleu.F.PGA_scaffold_74__15	43576409	Sebastes_aleutianus	normal	Sebastes_aleutianus.PGA_scaffold_74__15	Chr1
Sebaleu.F.PGA_scaffold_72__5	42391494	Sebastes_aleutianus	normal	Sebastes_aleutianus.PGA_scaffold_72__5	Chr3
Sebaleu.F.PGA_scaffold_70__14	42022858	Sebastes_aleutianus	normal	Sebastes_aleutianus.PGA_scaffold_70__14	Chr2
Sebaleu.F.PGA_scaffold_39__10	39081110	Sebastes_aleutianus	normal	Sebastes_aleutianus.PGA_scaffold_39__10	Chr4
Sebaleu.F.PGA_scaffold_6__16	38837484	Sebastes_aleutianus	normal	Sebastes_aleutianus.PGA_scaffold_6__16	Chr5
Sebaleu.F.PGA_scaffold_66__13	37062907	Sebastes_aleutianus	normal	Sebastes_aleutianus.PGA_scaffold_66__13	Chr6
Sebaleu.F.PGA_scaffold_65__11	36314098	Sebastes_aleutianus	normal	Sebastes_aleutianus.PGA_scaffold_65__11	Chr7
Sebaleu.F.PGA_scaffold_68__15	36303018	Sebastes_aleutianus	normal	Sebastes_aleutianus.PGA_scaffold_68__15	Chr8
Sebaleu.F.PGA_scaffold_60__9	35246893	Sebastes_aleutianus	normal	Sebastes_aleutianus.PGA_scaffold_60__9	Chr9
Sebaleu.F.PGA_scaffold_1__13	35190177	Sebastes_aleutianus	normal	Sebastes_aleutianus.PGA_scaffold_1__13	Chr10
Sebaleu.F.PGA_scaffold_10__11	35062620	Sebastes_aleutianus	normal	Sebastes_aleutianus.PGA_scaffold_10__11	Chr11
Sebaleu.F.PGA_scaffold_67__5	34133339	Sebastes_aleutianus	normal	Sebastes_aleutianus.PGA_scaffold_67__5	Chr12
Sebaleu.F.PGA_scaffold_7__14	33181941	Sebastes_aleutianus	normal	Sebastes_aleutianus.PGA_scaffold_7__14	Chr13
Sebaleu.F.PGA_scaffold_32__8	32206488	Sebastes_aleutianus	normal	Sebastes_aleutianus.PGA_scaffold_32__8	Chr14
Sebaleu.F.PGA_scaffold_38__11	31688892	Sebastes_aleutianus	normal	Sebastes_aleutianus.PGA_scaffold_38__11	Chr15
Sebaleu.F.PGA_scaffold_62__5	31578434	Sebastes_aleutianus	normal	Sebastes_aleutianus.PGA_scaffold_62__5	Chr16
